Response,Prob,Predicted
1,0.46707675,1
1,0.3343676,1
0,0.00011405069,0
0,0.0003248992,0
0,0.00058327016,0
0,0.00012720498,0
1,0.6187161,1
0,0.00050598825,0
1,0.5049435,1
0,0.24239667,0
0,0.00045855783,0
0,0.000106453226,0
0,0.10416384,0
0,0.00028278472,0
0,0.0002996235,0
0,0.0003439824,0
0,8.490741e-05,0
0,0.0001581039,0
0,0.00029199576,0
0,0.11128287,0
0,0.00046154053,0
0,0.19560277,0
1,0.3356372,1
0,0.00541199,0
0,0.0001721812,0
0,0.055211063,0
0,0.47971305,1
0,0.00030088332,0
0,0.00022560857,0
0,0.24890552,1
0,0.11906263,0
0,5.0898423e-05,0
0,0.21684359,0
0,0.03205347,0
0,0.093856916,0
0,0.16952153,0
0,0.00018424164,0
0,0.00037109593,0
1,0.2587074,1
0,0.0004955624,0
0,0.00035410942,0
0,0.29549488,1
0,0.28658038,1
0,0.0012924253,0
0,0.0015733279,0
0,0.25482926,1
0,0.0154445795,0
0,0.04626105,0
0,0.4512784,1
0,0.036081977,0
1,0.35531533,1
0,0.012550315,0
0,0.3611896,1
0,0.00014060341,0
0,0.0002338681,0
0,0.00013065737,0
1,0.26527563,1
0,0.3404631,1
0,0.00075327925,0
0,0.00024965443,0
1,0.12601615,0
0,0.4024008,1
0,0.000119508295,0
0,0.09556453,0
0,0.30168656,1
0,4.552954e-05,0
0,0.00014295802,0
0,0.3908714,1
0,0.0063255224,0
0,0.36489356,1
0,0.37040842,1
0,0.20619948,0
0,0.23478085,0
0,0.030245747,0
0,0.022386044,0
0,0.29794827,1
0,0.042488426,0
0,0.5166738,1
0,0.14545557,0
0,0.13036394,0
0,0.0039532306,0
0,0.2881988,1
0,0.00036036907,0
0,0.00069424394,0
0,0.00020324705,0
0,0.0003820919,0
1,0.23271462,0
0,0.44546744,1
0,0.13871269,0
0,0.6807551,1
0,0.046697736,0
0,0.00027605367,0
0,0.000834673,0
0,0.036584776,0
0,0.17955922,0
0,6.812956e-05,0
1,0.3322934,1
0,0.10220077,0
0,5.304963e-05,0
0,0.32620123,1
0,0.0003876498,0
0,0.0003037355,0
0,0.22056213,0
0,0.00059731177,0
0,0.0695699,0
0,0.26569435,1
0,7.530384e-05,0
0,0.0029267,0
0,0.00021278305,0
0,0.00010640279,0
0,0.21867748,0
0,0.00010458397,0
1,0.2144221,0
0,9.312222e-05,0
0,0.00015173064,0
0,0.21995021,0
0,0.029456763,0
0,0.0001546085,0
0,0.28785884,1
0,0.31193215,1
0,0.2730363,1
0,0.00021240479,0
0,0.0817494,0
0,0.00018255276,0
0,0.24946836,1
0,0.00019644771,0
0,0.00031717296,0
0,0.00027420698,0
0,0.18183266,0
0,0.17485556,0
0,0.00067637925,0
0,0.0023012047,0
0,0.00031547662,0
1,0.27454683,1
0,0.00015556661,0
0,0.21565257,0
0,0.25646567,1
0,0.2097204,0
0,0.30925754,1
0,0.33162558,1
0,0.011717535,0
0,0.14860976,0
0,0.0648317,0
0,0.3032561,1
0,0.26503843,1
0,0.00019621277,0
0,0.014741185,0
0,0.053450514,0
0,0.19158319,0
0,0.04296362,0
0,0.00039311757,0
0,0.08023936,0
0,0.0011704264,0
0,0.10333811,0
0,0.012192737,0
0,6.323963e-05,0
0,0.0002576043,0
0,0.004649173,0
0,0.060879946,0
0,0.47428238,1
0,0.5081395,1
0,0.4197923,1
0,0.00013210911,0
0,0.38414225,1
0,0.00011193174,0
0,0.00011933031,0
0,0.07202547,0
0,0.5612344,1
0,5.8445614e-05,0
0,0.2535316,1
0,0.018235086,0
0,0.16285704,0
0,0.00012973718,0
0,0.32151124,1
0,0.00014739437,0
0,0.4893042,1
0,0.0004233666,0
0,0.0077748327,0
0,0.00059490534,0
0,0.00018121823,0
0,0.000117981726,0
0,0.049304757,0
0,7.426254e-05,0
1,0.4193268,1
0,0.00011645536,0
0,0.0001038354,0
1,0.28059617,1
0,0.25434366,1
0,0.42178175,1
0,0.047262378,0
0,0.00025312643,0
0,0.32551792,1
0,0.44685015,1
0,0.2592652,1
0,0.26492426,1
0,9.92549e-05,0
0,0.0034550796,0
0,0.26023394,1
0,0.12248821,0
0,0.12453098,0
0,0.0016735665,0
0,0.42479405,1
0,0.42175138,1
0,0.00014830241,0
0,0.13960648,0
0,0.37707555,1
1,0.21445478,0
0,0.032189734,0
0,0.005842805,0
0,0.25376126,1
0,0.00034653003,0
0,0.20222344,0
0,0.35167724,1
0,0.0010258865,0
0,0.25217158,1
0,0.00050068914,0
0,0.16859265,0
0,0.08732641,0
0,0.10425696,0
0,0.16374464,0
0,0.017031908,0
0,0.0021001138,0
0,0.0005613905,0
0,0.00021742767,0
0,0.00017252944,0
0,0.00022931334,0
0,5.969378e-05,0
0,0.2774646,1
1,0.20444418,0
1,0.08888575,0
0,0.31326035,1
0,0.00039578095,0
0,0.0002911829,0
0,0.00040840876,0
0,0.00015029416,0
0,3.2362954e-05,0
1,0.24601902,1
0,6.832695e-05,0
0,0.00045516295,0
1,0.48295993,1
1,0.33999968,1
1,0.41199607,1
0,0.00030858806,0
1,0.47154465,1
0,0.00032708063,0
0,9.364333e-05,0
0,0.1824213,0
0,0.31789696,1
0,0.3136392,1
0,0.3765893,1
0,0.000599729,0
0,0.26456514,1
0,0.00020683206,0
0,0.013330183,0
0,0.31309098,1
0,0.0003377282,0
0,0.01580769,0
0,0.00012721833,0
0,5.6455443e-05,0
1,0.30535382,1
1,0.3895088,1
0,0.00015573863,0
0,0.07326342,0
0,0.0074932515,0
0,0.12852576,0
0,0.3236547,1
0,0.24944702,1
0,0.0001244116,0
0,0.00056387496,0
0,0.0001428377,0
0,0.011719893,0
1,0.24740702,1
0,0.18407157,0
1,0.35597566,1
0,0.00028769163,0
0,0.37088212,1
0,0.3498178,1
0,0.34259135,1
0,0.3217912,1
0,0.31411174,1
0,0.17841566,0
0,0.12419901,0
1,0.49551424,1
1,0.3222061,1
0,0.00016473194,0
0,0.020920817,0
